Revenue	MarketCap	Exchange
52815.0	212449.0	NASDAQ National Market
13680.0	620111.0	NASDAQ National Market
28118000.0	59199764.0	New York Stock Exchange (NYSE)
15809.0	51546.0	NASDAQ National Market
1822659.0	1094662.0	NASDAQ National Market
104.0	55927.0	NYSE MKT
1019259.0	4047352.0	NASDAQ National Market
5997800.0	24520330.0	New York Stock Exchange (NYSE)
9667000.0	104790647.0	New York Stock Exchange (NYSE)
814052.0	898586.0	NASDAQ National Market
170204.0	705394.0	NASDAQ National Market
400408.0	489186.0	New York Stock Exchange (NYSE)
413941.0	235873.0	NASDAQ National Market
6510000.0	19076008.0	New York Stock Exchange (NYSE)
32846000.0	62311686.0	New York Stock Exchange (NYSE)
16453200.0	31596362.0	New York Stock Exchange (NYSE)
3394800.0	12598163.0	New York Stock Exchange (NYSE)
2485600.0	3096737.0	New York Stock Exchange (NYSE)
108994.0	152893.0	New York Stock Exchange (NYSE)
48851000.0	209904440.0	New York Stock Exchange (NYSE)
259488000.0	373236497.0	New York Stock Exchange (NYSE)
1822440.0	2579795.0	New York Stock Exchange (NYSE)
1496897.0	132274.0	NYSE MKT
251790.0	1428557.0	New York Stock Exchange (NYSE)
126781.0	300456.0	New York Stock Exchange (NYSE)
709868.0	1135134.0	New York Stock Exchange (NYSE)
117385000.0	276973197.0	New York Stock Exchange (NYSE)
26832.0	59814.0	NYSE MKT
334661.0	123057.0	NASDAQ National Market
139185.0	24287.0	NYSE MKT
175000.0	632180.0	NASDAQ National Market
3974295.0	11164004.0	New York Stock Exchange (NYSE)
402356.0	514125.0	NASDAQ National Market
4367000.0	12889346.0	New York Stock Exchange (NYSE)
3903.0	151861.0	NASDAQ National Market
16068.0	75579.0	NASDAQ National Market
300360.0	1142786.0	New York Stock Exchange (NYSE)
522789.0	1750656.0	New York Stock Exchange (NYSE)
328655.0	1777777.0	New York Stock Exchange (NYSE)
135103.0	82241.0	NASDAQ National Market
60532.0	58725.0	NASDAQ National Market
112500.0	358296.0	NASDAQ National Market
4260.0	41481.0	NASDAQ National Market
250.0	0.0	New York Stock Exchange (NYSE)
350000.0	1279767.0	NASDAQ National Market
17500.0	59449.0	NASDAQ National Market
350000.0	5312341.0	NASDAQ National Market
17500.0	59046.0	NASDAQ National Market
175000.0	664699.0	NASDAQ National Market
30000000.0	13781012.0	New York Stock Exchange (NYSE)
350000.0	1871707.0	New York Stock Exchange (NYSE)
