Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	Assets	MarketCap	Revenue	Country
ALLSCRIPTS HEALTHCARE SOLUTIONS INC	US364392754	16.0	1	NASDAQ National Market	Industrial company	6.428450515040871	6.396185219214123	6.141886670181531	US
ALLSTATE CORPORATION (THE)	US363871531	14.85	1	New York Stock Exchange (NYSE)	Insurance company	8.019764135937624	7.403758208181112	7.5372270567509405	US
ALLY FINANCIAL INC	US380572512	17.62	1	New York Stock Exchange (NYSE)	Bank	8.200251154891342	6.9345488971726565	6.808818492539624	US
ALMOST FAMILY INC	US061153720	12.09	3	NASDAQ National Market	Industrial company	5.667238087422419	5.637941800838377	5.726087110586333	US
ALNYLAM PHARMACEUTICALS, INC.	US770602661	13.0	2	NASDAQ National Market	Industrial company	6.141923319438836	6.762027459257365	4.613820687810423	US
ALON USA ENERGY, INC.	US742966572	11.51	2	New York Stock Exchange (NYSE)	Industrial company	6.337686632296816	5.739493230781615	6.637304864848293	US
ALON USA PARTNERS, LP	US460810241	0.0	112	New York Stock Exchange (NYSE)	Industrial company	5.874241120557597	5.758793088286115	6.3338888010272605	US
ALPHA PRO TECH, LTD.	US631009183	2.06	7	NYSE MKT	Industrial company	4.592565338155902	4.638139683961196	4.652787662543015	US
ALPHABET INC.	US611767919	13.56	3	NASDAQ National Market	Industrial company	8.1686771776703	8.341536481787854	7.874997567987595	US
ALPHATEC HOLDINGS, INC.	US202463898	5.45	4	NASDAQ National Market	Industrial company	5.165368986074089	4.290635526261545	5.267828542047342	US
ALTISOURCE RESIDENTIAL CORPORATION	US460633510	15.83	1	New York Stock Exchange (NYSE)	Financial company	6.389303264300513	5.7478326908351445	5.394625013787094	US
ALTRA INDUSTRIAL MOTION CORP.	US611478870	13.94	1	NASDAQ National Market	Industrial company	5.800945847231416	5.849836922025529	5.87311881440168	US
ALTRIA GROUP, INC.	US133260245	15.91	1	New York Stock Exchange (NYSE)	Industrial company	7.512350824418406	8.097371620674362	7.405414684027216	US
AMAG PHARMACEUTICALS, INC.	US042742593	18.43	1	NASDAQ National Market	Industrial company	6.393787648519072	5.86020260539301	5.621463984476142	US
AMAZON.COM, INC.	US911646860	12.41	2	NASDAQ National Market	Industrial company	7.815869842605587	8.526410029313324	8.029408134022644	US
AMBAC FINANCIAL GROUP INC	US133621676	11.44	1	NASDAQ National Market	Insurance company	7.375262433198049	5.870096512687284		US
AMBER ROAD, INC.	US222590301	4.579999999999999	12	New York Stock Exchange (NYSE)	Industrial company	5.059279348678078	5.19378945060832	4.826793710150612	US
AMC ENTERTAINMENT HOLDINGS, INC.	US260303916	3.75	3	New York Stock Exchange (NYSE)	Industrial company	6.70657424519728	5.798917768309372	6.469365546139744	US
AMC NETWORKS INC.	US275403694	18.27	2	NASDAQ National Market	Industrial company	6.629910481905481	6.587262523713452	6.411777235387938	US
AMCON DISTRIBUTING CO	US470702918	0.72	11	NYSE MKT	Industrial company	5.079850267802029	4.70637635583969	6.107839579336578	US
AMEDICA CORPORATION	US841375299	1.73	4	NASDAQ National Market	Industrial company	4.561757102571363	4.252124552505644	4.289008911539463	US
AMEDISYS INC	US113131700	23.35	1	NASDAQ National Market	Industrial company	5.833603487089502	6.228739037909204	6.107393827294184	US
AMERCO	US880106815	4.3599999999999985	6	NASDAQ National Market	Insurance company	6.837094273473073	6.864649475538951	6.48777901757943	US
AMEREN CORP	US431723446	19.99	1	New York Stock Exchange (NYSE)	Industrial company	7.373647490580388	7.067188475494226	6.785187491248523	US
AMERESCO INC	US043512838	3.66	2	New York Stock Exchange (NYSE)	Industrial company	5.859403118151315	5.1349194288579	5.799914403970495	US
AMERICA FIRST MULTIFAMILY INVESTORS, L.P.	US470810385	0.0	113	NASDAQ National Market	Financial company	5.940773399697691	5.509144702189052	4.809916430230177	US
AMERICA'S CAR-MART, INC.	US630851141	10.65	3	NASDAQ National Market	Industrial company	5.601949232112677	5.291273366219946	5.674466148003077	US
AMERICAN AIRLINES GROUP INC.	US751825172	14.38	1	NASDAQ National Market	Industrial company	7.684979945159526	7.262430584851165	7.612677928911634	US
AMERICAN ASSETS TRUST, INC	US273338708	22.87	1	New York Stock Exchange (NYSE)	Financial company	6.295410945775031	6.260798103575818	5.440317031137465	US
AMERICAN AXLE & MANUFACTURING HOLDINGS, INC.	US363161171	20.08	1	New York Stock Exchange (NYSE)	Industrial company	6.505516395388329	6.107398914498724	6.591409789604369	US
AMERICAN CAMPUS COMMUNITIES, INC.	US760753089	24.67	1	New York Stock Exchange (NYSE)	Financial company	6.77860333270552	6.783807995396955	5.877015239713732	US
AMERICAN CAPITAL AGENCY CORP.	US261701984	17.55	1	NASDAQ National Market	Financial company	7.756034837052019	6.79582942777643	5.835056736653105	US
AMERICAN DG ENERGY INC	US043569304	0.86	11	NYSE MKT	Industrial company	4.531772605161404	4.086929024048365	3.932372282147914	US
AMERICAN EAGLE OUTFITTERS INC	US132721761	23.53	1	New York Stock Exchange (NYSE)	Industrial company	6.207431577493605	6.451940482991631	6.546770731565219	US
AMERICAN ELECTRIC POWER COMPANY INC	US134922640	17.96	1	New York Stock Exchange (NYSE)	Industrial company	7.790166198916689	7.49963709464576	7.216250403282778	US
AMERICAN ELECTRIC TECHNOLOGIES, INC.	US593410234	1.64	11	NASDAQ National Market	Industrial company	4.586441015055159	4.338675577753202	4.690939947436014	US
AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY	US421447959	19.47	1	New York Stock Exchange (NYSE)	Insurance company	7.690560769682822	6.123484784785188	5.250175948083925	US
AMERICAN EXPRESS COMPANY	US134922250	13.62	2	New York Stock Exchange (NYSE)	Bank	8.207289597845335	7.794569509317241	7.5164825017693735	US
AMERICAN FARMLAND COMPANY	US271088083	1.84	4	NYSE MKT	Industrial company	5.2794091192322865	5.013069067631303	4.006466042249231	US
AMERICAN FINANCIAL GROUP INC	US311544320	13.07	2	New York Stock Exchange (NYSE)	Insurance company	7.697743572512442	6.80286091739927	6.776483328494622	US
AMERICAN HOMES 4 RENT	US461229660	16.26	3	New York Stock Exchange (NYSE)	Financial company	6.829382260444643	6.644977725246636	5.799738126013457	US
